iter	Passed	Remaining
467	721	819
468	722	817
469	723	815
470	724	813
471	726	813
472	727	811
473	729	809
474	730	807
475	731	805
476	733	803
477	734	802
478	736	800
479	737	798
480	738	796
481	738	794
482	739	791
483	740	789
484	741	787
485	742	785
486	744	784
487	746	783
488	747	781
489	748	778
490	749	776
491	750	774
492	751	773
493	752	770
494	753	768
495	754	766
496	755	764
497	756	762
498	757	760
499	760	760
500	761	758
501	762	756
502	763	754
503	765	752
504	765	750
505	766	748
506	768	746
507	768	744
508	769	742
509	771	740
510	771	738
511	773	737
512	775	736
513	777	734
514	778	732
515	778	730
516	779	728
517	780	726
518	781	724
519	782	722
520	783	720
521	784	718
522	785	716
523	785	713
524	788	713
525	789	711
526	791	710
527	792	708
528	792	705
529	793	703
530	794	701
531	795	699
532	796	697
533	797	695
534	798	693
535	799	691
536	799	689
537	800	687
538	802	686
539	804	685
540	805	683
541	806	681
542	807	679
543	807	677
544	809	675
545	811	674
546	811	672
547	812	670
548	813	668
549	814	666
550	815	664
551	818	664
552	819	662
553	820	660
554	821	658
555	822	656
556	823	654
557	823	652
558	824	650
559	825	648
560	826	646
561	827	644
562	828	642
563	829	640
564	830	639
565	833	638
566	834	637
567	835	635
568	836	633
569	837	631
570	838	630
571	839	628
572	840	626
573	841	624
574	842	622
575	843	620
576	844	618
577	845	617
578	846	615
579	848	614
580	849	612
581	851	611
582	852	609
583	853	607
584	854	606
585	855	604
586	856	602
587	857	600
588	858	598
589	859	597
590	863	597
591	864	595
592	865	594
593	866	592
594	867	590
595	869	589
596	870	587
597	871	585
598	872	583
599	873	582
600	874	580
601	877	580
602	879	578
603	880	576
604	881	575
605	882	573
606	883	572
607	884	570
608	885	568
609	886	566
610	887	564
611	889	563
612	892	563
613	893	561
614	894	560
615	895	558
616	896	556
617	898	555
618	899	553
619	900	551
620	903	551
621	904	549
622	907	548
623	909	548
624	910	546
625	912	544
626	913	543
627	914	541
628	918	541
629	924	542
630	926	541
631	927	540
632	928	538
633	930	536
634	931	535
635	936	535
636	938	534
637	940	533
638	942	532
639	943	530
640	945	529
641	946	527
642	947	526
643	951	525
644	953	524
645	958	525
646	961	524
647	967	525
648	974	526
649	983	529
650	985	528
651	986	526
652	988	525
653	989	523
654	990	521
655	995	522
656	997	520
657	999	519
658	1000	517
659	1002	516
660	1003	514
661	1006	513
662	1007	512
663	1009	511
664	1013	510
665	1015	509
666	1017	507
667	1018	506
668	1020	504
669	1029	506
670	1031	505
671	1033	504
672	1037	504
673	1039	502
674	1044	502
675	1046	501
676	1049	500
677	1051	499
678	1052	497
679	1053	495
680	1066	499
681	1067	497
682	1069	496
683	1071	495
684	1074	493
685	1078	493
686	1080	492
687	1081	490
688	1083	488
689	1084	487
690	1085	485
691	1095	487
692	1097	486
693	1099	484
694	1100	482
695	1101	481
696	1104	480
697	1117	483
698	1118	481
699	1120	480
700	1123	479
701	1127	478
702	1129	476
703	1130	475
704	1133	474
705	1137	473
706	1139	472
707	1141	470
708	1142	469
709	1144	467
710	1149	467
711	1151	465
712	1153	464
713	1154	462
714	1161	462
715	1165	462
716	1168	461
717	1170	459
718	1173	458
719	1174	456
720	1176	455
721	1179	454
722	1184	453
723	1186	452
724	1189	451
725	1191	449
726	1196	449
727	1198	447
728	1200	446
729	1202	444
730	1203	442
731	1221	447
732	1222	445
733	1224	443
734	1226	442
735	1227	440
736	1229	438
737	1231	437
738	1232	435
739	1234	433
740	1239	433
741	1249	434
742	1258	435
743	1266	435
744	1267	433
745	1271	432
746	1273	431
747	1274	429
748	1276	427
749	1277	425
750	1279	424
751	1280	422
752	1289	423
753	1292	421
754	1294	420
755	1296	418
756	1299	417
757	1301	415
758	1303	413
759	1306	412
760	1309	411
761	1314	410
762	1315	408
763	1317	406
764	1318	404
765	1320	403
766	1321	401
767	1323	399
768	1325	398
769	1328	396
770	1330	395
771	1333	393
772	1334	392
773	1336	390
774	1340	389
775	1342	387
776	1347	386
777	1349	385
778	1350	383
779	1356	382
780	1360	381
781	1361	379
782	1362	377
783	1363	375
784	1367	374
785	1371	373
786	1377	372
787	1378	370
788	1379	368
789	1385	368
790	1387	366
791	1389	364
792	1391	363
793	1393	361
794	1395	359
795	1397	358
796	1402	357
797	1405	355
798	1407	354
799	1409	352
800	1410	350
801	1412	348
802	1416	347
803	1418	345
804	1421	344
805	1423	342
806	1425	340
807	1427	339
808	1430	337
809	1439	337
810	1441	335
811	1446	334
812	1449	333
813	1451	331
814	1453	329
815	1461	329
816	1463	327
817	1466	326
818	1469	324
819	1471	323
820	1475	321
821	1478	320
822	1481	318
823	1483	316
824	1485	315
825	1486	313
826	1487	311
827	1492	309
828	1495	308
829	1496	306
830	1498	304
831	1500	302
832	1501	301
833	1503	299
834	1505	297
835	1507	295
836	1508	293
837	1509	291
838	1510	289
839	1511	287
840	1512	286
841	1515	284
842	1517	282
843	1520	280
844	1522	279
845	1524	277
846	1526	275
847	1527	273
848	1532	272
849	1533	270
850	1535	268
851	1536	266
852	1537	265
853	1538	263
854	1540	261
855	1541	259
856	1542	257
857	1544	255
858	1547	253
859	1549	252
860	1550	250
861	1551	248
862	1552	246
863	1554	244
864	1555	242
865	1556	240
866	1559	239
867	1561	237
868	1563	235
869	1565	233
870	1566	231
871	1568	230
872	1574	229
873	1576	227
874	1578	225
875	1580	223
876	1581	221
877	1582	219
878	1584	218
879	1588	216
880	1590	214
881	1592	213
882	1593	211
883	1595	209
884	1597	207
885	1602	206
886	1604	204
887	1606	202
888	1607	200
889	1609	198
890	1611	197
891	1614	195
892	1616	193
893	1618	191
894	1619	190
895	1621	188
896	1623	186
897	1624	184
898	1625	182
899	1635	181
900	1637	179
901	1639	178
902	1640	176
903	1645	174
904	1648	173
905	1650	171
906	1651	169
907	1653	167
908	1655	165
909	1656	163
910	1658	162
911	1661	160
912	1663	158
913	1664	156
914	1665	154
915	1667	152
916	1672	151
917	1674	149
918	1676	147
919	1678	145
920	1679	144
921	1680	142
922	1681	140
923	1683	138
924	1686	136
925	1689	134
926	1692	133
927	1693	131
928	1694	129
929	1696	127
930	1699	125
931	1704	124
932	1708	122
933	1710	120
934	1711	118
935	1712	117
936	1714	115
937	1716	113
938	1718	111
939	1721	109
940	1722	108
941	1723	106
942	1724	104
943	1725	102
944	1726	100
945	1728	98
946	1729	96
947	1737	95
948	1738	93
949	1739	91
950	1740	89
951	1741	87
952	1743	85
953	1745	84
954	1746	82
955	1748	80
956	1749	78
957	1751	76
958	1752	74
959	1753	73
960	1755	71
961	1758	69
962	1760	67
963	1762	65
964	1763	63
965	1764	62
966	1765	60
967	1766	58
968	1771	56
969	1773	54
970	1776	53
971	1778	51
972	1779	49
973	1780	47
974	1781	45
975	1783	43
976	1787	42
977	1792	40
978	1793	38
979	1794	36
980	1795	34
981	1796	32
982	1797	31
983	1799	29
984	1803	27
985	1805	25
986	1807	23
987	1808	21
988	1809	20
989	1810	18
990	1812	16
991	1813	14
992	1818	12
993	1820	10
994	1822	9
995	1823	7
996	1825	5
997	1826	3
998	1827	1
999	1831	0
